no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE,
3415,C2904678,2107220,POP_CULTURE,0.07726936473536675,0.1342964912094831,0.07860784731945258,0.05838514891805882,0.061059083797940956,0.0920535577804256,0.11934895090791897,0.0510794873939321,0.20442409229358097,0.09433459803398486,0.08689718273711856,0.04805708148083712,0.045279965099091886,
3416,C2904678,2107220,THEATER,0.0705658212841356,0.09031724281873232,0.06778780590125659,0.05195319335660553,0.057696126491620224,0.05613435443256867,0.07728523499122225,0.042337757619157215,0.08387275784737164,0.15840185165414994,0.06307737657930323,0.037129734398218595,0.034387006062911694,
3417,C2904678,2107220,TRAVEL,0.11548986049844598,0.1350625756131839,0.10281293502651108,0.05771046933834319,0.08758704346291113,0.09876131777557015,0.10485215467162856,0.05095375665780776,0.11481436327058642,0.10216888343243255,0.29111508497367244,0.05236326804900715,0.06013367508513075,
3418,C2937450,2138349,ANIMALS,0.06125792116955815,0.08686467293989192,0.09395837159261766,0.06025949471148382,0.0826423823173302,0.24847831471243037,0.10344232883372592,0.06184654244335964,0.09949381512656293,0.09453817853461255,0.11509348126080442,0.049142853172477824,0.04733167351396632,
3419,C2937450,2138349,COMMUNICATIONS,0.058551624420771685,0.06624771213074215,0.10390931187939595,0.07303203726651,0.0728306985746654,0.07189706781239401,0.1253322395629378,0.0635117414962951,0.07587294706425136,0.08094166731360172,0.0857248824642522,0.039218379019555605,0.03972790217186917,
3420,C2937450,2138349,POP_CULTURE,0.11630919632402588,0.17586754700403687,0.11316352343568387,0.0898585148080806,0.12881201507030454,0.13454222884126943,0.15187865283366805,0.08313234486049023,0.23823078792269542,0.16394846523041795,0.14823172394338047,0.07205317321693155,0.07364978077513112,
3421,C2978782,2177778,ANIMALS,0.028824597503051302,0.04789402002125946,0.059236916428616795,0.02375266948224647,0.044032194036192664,0.13408191715231454,0.05915525550050283,0.04997820313211972,0.05630315694795373,0.04864730071775501,0.06077741290684529,0.021901873410257185,0.02430865628563369,
3422,C2978782,2177778,COMMUNICATIONS,0.06430315809939932,0.06730349827437476,0.03810268391190233,0.04359414569935274,0.04531726229870679,0.06351153814636983,0.10128965301665666,0.0402831153840643,0.0744060508449517,0.05513508399174059,0.05687071768534194,0.028529172867822195,0.03916379916026591,
3423,C2978782,2177778,POP_CULTURE,0.0671954966529084,0.09629822283376006,0.06832636369070352,0.062326429848568274,0.0777112741937066,0.07347784456055205,0.07855561132838072,0.05461298739465528,0.13457127180125014,0.08990761152494828,0.054058185534670476,0.028855678244495152,0.04478468090130503,
3424,C2979366,2178300,ANIMALS,0.0008357288329100458,0.0024133163424795807,0.008312542063246523,0.007946887520552871,0.012056801780344465,0.010700161697520373,0.012760769834440064,0.0,0.015838068250736078,0.006061817700105437,0.0027320802702391197,0.0,0.0,
