no,username,testId,topic,Summer Break,Self Recommnedation,Social media,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,POP_CULTURE,HEALTH
62,B2051030,1342279,Self Recommnedation,0.1507301712,0.2177069879,0.1290673905,0.1256703836,0.1264577438,0.1278225134,0.08650596418,0.0848980838
63,B2051030,1342279,Social media,0.128057444,0.1163110643,0.2171337679,0.1349772019,0.12999737,0.1108629328,0.09205586548,0.08776000786
64,B2069500,1359202,Summer Break,0.126599615,0.07945361819,0.08011602268,0.08012804258,0.06840498081,0.07136758489,0.04943250102,0.04030691083
65,B2069500,1359202,Self Recommnedation,0.0995223548,0.1640496994,0.0886902332,0.08609224899,0.08270501339,0.0801631751,0.04712582758,0.0531156916
66,B2069500,1359202,Social media,0.08066847173,0.06648154116,0.1212411389,0.07632592229,0.06490102315,0.06847516087,0.05424742041,0.0406340386
67,B2090479,1378889,Summer Break,0.2433839308,0.1372433233,0.1236192352,0.1058136968,0.1080413381,0.1094221232,0.07433265136,0.07391101501
68,B2090479,1378889,Self Recommnedation,0.1412593411,0.2743773229,0.1341863916,0.1130072092,0.1266681208,0.1121199794,0.07042944663,0.06446446994
69,B2090479,1378889,Social media,0.1115121328,0.1079037624,0.1509639956,0.1043141451,0.1004063997,0.1060434012,0.07342177703,0.06637145062
70,B2104895,1392541,Summer Break,0.2667095009,0.1183591147,0.1287580776,0.1110674739,0.1034636735,0.0947803036,0.08996248934,0.07043864794
71,B2104895,1392541,Self Recommnedation,0.08429313772,0.2369016251,0.09089521461,0.08476163458,0.07566259754,0.06688260458,0.04628018056,0.0441820098
72,B2104895,1392541,Social media,0.1086937509,0.09204215983,0.1527576858,0.1026100604,0.08762179445,0.0917699291,0.07236123628,0.05634608981
73,B2106492,1394069,Summer Break,0.1432022225,0.09413844109,0.08387967851,0.09784971003,0.08259841736,0.07494702658,0.05956752411,0.06751750657
74,B2106492,1394069,Self Recommnedation,0.1181177765,0.2094621474,0.09443470351,0.09181111862,0.08992540065,0.09389814198,0.05904828975,0.0537656977
75,B2106492,1394069,Social media,0.1132093842,0.1080967186,0.1612413293,0.09839898552,0.08584293414,0.1000486641,0.06851935065,0.05660080363
76,B2113265,1400590,Summer Break,0.1629598809,0.08384932088,0.07588458962,0.0637057448,0.0656941402,0.06161329347,0.05146269104,0.0402165968
77,B2113265,1400590,Self Recommnedation,0.1025322969,0.155149072,0.08180409837,0.07507150912,0.07170353573,0.07327600105,0.05196048908,0.04252612119
78,B2113265,1400590,Social media,0.08235795327,0.0824349586,0.1774676365,0.09389809009,0.08031930487,0.08915594711,0.0601668921,0.05739606031
79,B2113361,1400686,Summer Break,0.07802802957,0.04022254284,0.03454631165,0.02779048723,0.02763101599,0.02759424603,0.02261022737,0.01791917404
80,B2113361,1400686,Self Recommnedation,0.04703030636,0.06618294129,0.03412297765,0.03241544312,0.04267004447,0.03572905237,0.01980775239,0.01617899577
81,B2113361,1400686,Social media,0.04385223788,0.0198721453,0.1131339731,0.0197274507,0.02426717465,0.02074321819,0.02584185613,0.01057330004
82,B2139640,1425836,Summer Break,0.2042093892,0.1069962523,0.09505730528,0.09076424174,0.0795860172,0.07549499813,0.06251980467,0.05027724311
83,B2139640,1425836,Self Recommnedation,0.1493454133,0.2817241121,0.1403257548,0.13810445,0.1291301034,0.1314308289,0.08589588162,0.07601891308
84,B2139640,1425836,Social media,0.1085439786,0.1095146855,0.2123076487,0.121159585,0.1182934132,0.1204629422,0.07832414681,0.06122035711
85,B2163492,1448941,Summer Break,0.2433691261,0.1413184403,0.1345512909,0.1219553729,0.1167442238,0.1230976128,0.08814875277,0.07461199641
86,B2163492,1448941,Self Recommnedation,0.1693750523,0.2959985802,0.1494356353,0.1412262488,0.134254382,0.1346370602,0.08333388754,0.07320016536
87,B2163492,1448941,Social media,0.1256787366,0.1162070112,0.2137813599,0.1230340246,0.1054733868,0.1075869356,0.0803322085,0.06390538479
88,B2184901,1469820,Summer Break,0.1475767825,0.07976640521,0.08255896481,0.08726065161,0.08019949926,0.07272766646,0.07234580249,0.06098776817
89,B2184901,1469820,Self Recommnedation,0.07432794728,0.1359537611,0.07155149243,0.06165479259,0.0606104575,0.07038254108,0.03710274435,0.03262492689
90,B2184901,1469820,Social media,0.05310423688,0.0470245189,0.08464704666,0.06206009704,0.0701915968,0.06750667853,0.04010837841,0.03051447053
91,B2187642,1472675,Summer Break,0.2002666986,0.1127712476,0.1129444133,0.1052760006,0.09728367468,0.09036143474,0.07203170424,0.07255050688
92,B2187642,1472675,Self Recommnedation,0.1568784081,0.258509622,0.1395083184,0.1478482032,0.1355466524,0.1295246363,0.08319417793,0.07858563378
93,B2187642,1472675,Social media,0.09050862585,0.08914659587,0.184884049,0.09681524352,0.08979584471,0.09452286657,0.0695034419,0.05544718235
94,B2194750,1479558,Summer Break,0.2039622992,0.1303599951,0.11835436,0.1299406878,0.1144244507,0.1043235775,0.08627958065,0.07159884377
95,B2194750,1479558,Self Recommnedation,0.002277061166,0.00482728577,0.005149876673,0.003805105417,0.006853753553,0.006577326551,0.009158411561,0.00239877905
96,B2194750,1479558,Social media,0.09541058078,0.099813221,0.2359183382,0.1143263038,0.125095661,0.1107495535,0.08300245974,0.08403219473
97,B2198153,1482956,Summer Break,0.1447007692,0.1079625948,0.09490648937,0.0946418314,0.08798111047,0.07777795007,0.06498803706,0.06173281359
98,B2198153,1482956,Self Recommnedation,0.09678966195,0.1566657416,0.09324266674,0.0800621996,0.08665788156,0.07901786946,0.05851214287,0.04868226851
99,B2198153,1482956,Social media,0.1000639523,0.1103965506,0.1427523982,0.117313235,0.1014097364,0.09607023477,0.07665771468,0.06365776037
100,B2209843,1494197,Summer Break,0.2175293479,0.1003826508,0.1069565226,0.08886460975,0.08498745778,0.08456186027,0.0576945291,0.04666267421
101,B2209843,1494197,Self Recommnedation,0.09021781729,0.1826892469,0.08717887249,0.0902092113,0.07655879017,0.07309783654,0.0469972708,0.04422621044
102,B2209843,1494197,Social media,0.08038744279,0.07409471666,0.1573939754,0.07995357646,0.07020053234,0.07397934085,0.04935173732,0.04311544894
103,B2253576,1535870,Summer Break,0.1389925842,0.09157972868,0.08850485446,0.08451391529,0.07440029047,0.06828126868,0.05636451363,0.04957889209
104,B2253576,1535870,Self Recommnedation,0.1244956524,0.1669223497,0.09865115785,0.09524464711,0.09108310306,0.09813614759,0.06444172255,0.04794798864
105,B2253576,1535870,Social media,0.1014820825,0.09218351208,0.1516567944,0.1071748443,0.09035514671,0.09332062693,0.06643684528,0.05103844823
106,B2300484,1580451,Summer Break,0.1742806952,0.1116157139,0.1147211375,0.1127282829,0.09912165979,0.09319274342,0.06452045525,0.06955446699
107,B2300484,1580451,Self Recommnedation,0.1316523476,0.2217809028,0.118698099,0.1294394581,0.1181040833,0.1199352882,0.07400163435,0.06360910904
108,B2300484,1580451,Social media,0.1091274484,0.1031180651,0.1523240832,0.1268855875,0.1042211941,0.1058390188,0.07496379562,0.06355412371
109,B2345951,1624445,Summer Break,0.2200515909,0.1281729769,0.1191386658,0.1012043092,0.1054191123,0.09930506733,0.0757252003,0.06024360686
110,B2345951,1624445,Self Recommnedation,0.1108283988,0.1983620915,0.09498852717,0.08880651211,0.08843787903,0.089042078,0.05560537046,0.05678291608
111,B2345951,1624445,Social media,0.1163833517,0.1112531862,0.1892176158,0.1258311115,0.1230341322,0.121073406,0.08724223716,0.06906913352
112,B2369576,1646804,Summer Break,0.182363291,0.07731595546,0.09023061933,0.06921330428,0.06333156522,0.07181493219,0.04776671879,0.03738523608
113,B2369576,1646804,Self Recommnedation,0.09041276294,0.2042084426,0.07469191298,0.07502596322,0.07446210142,0.06825872641,0.0473722815,0.03326816453
114,B2369576,1646804,Social media,0.09331532661,0.08673813382,0.1398910965,0.07106920403,0.06546584392,0.06059526822,0.04503818998,0.03962965775
115,B2426787,1699386,Summer Break,0.179769253,0.08512229933,0.08866448927,0.08733219902,0.08551838107,0.07237604171,0.05822947625,0.05273903326
116,B2426787,1699386,Self Recommnedation,0.1132252131,0.2057904409,0.09547549526,0.08980081245,0.1030427694,0.1103522861,0.06359286758,0.05101048644
117,B2426787,1699386,Social media,0.09272790811,0.088560311,0.2151317885,0.1106354972,0.09161908327,0.08765044014,0.06549863883,0.05828089168
118,B2427519,1699854,Summer Break,0.1696044837,0.1108293522,0.09230113612,0.08649306445,0.08476595594,0.07348101577,0.06247059621,0.05496571419
119,B2427519,1699854,Self Recommnedation,0.1095824795,0.194173468,0.094626737,0.08583549215,0.08782065725,0.0799543599,0.05758210758,0.04969742653
120,B2427519,1699854,Social media,0.1023547697,0.1003577688,0.1770129656,0.1029679668,0.09223648416,0.08508853898,0.0666444442,0.05710740843
121,B2512070,1761041,Summer Break,0.2474268432,0.124662672,0.1172443692,0.1183304645,0.1027313339,0.1001307309,0.07225701909,0.06372737136
122,B2512070,1761041,Self Recommnedation,0.1374900347,0.2411317311,0.1049659613,0.1050729962,0.1041361986,0.09978664761,0.06566852016,0.05597253709
123,B2512070,1761041,Social media,0.1188932457,0.09540656214,0.1849171342,0.1064884929,0.09965313572,0.1085254922,0.07418051961,0.06397244508
124,B2533826,1779315,Summer Break,0.230985363,0.140920552,0.1461907282,0.1541452835,0.1414501578,0.1280732596,0.0994332361,0.09257712586
125,B2533826,1779315,Self Recommnedation,0.1639976117,0.2637228744,0.1570772626,0.1727431728,0.1567712029,0.1523240854,0.1035494096,0.0929085857
126,B2533826,1779315,Social media,0.1148516459,0.1200004528,0.233932039,0.143669999,0.12752968,0.1224488119,0.09136250079,0.08728251178
127,B2597416,1831798,Summer Break,0.1628478699,0.09686771275,0.08029509569,0.08645354153,0.07076831496,0.05782223621,0.05918053106,0.04491289121
128,B2597416,1831798,Self Recommnedation,0.08841744313,0.1514573854,0.077669016,0.05717024693,0.06217212456,0.05667388229,0.0377904655,0.04045890803
129,B2597416,1831798,Social media,0.08787516394,0.1005845233,0.1673732581,0.09822865081,0.1020783825,0.08661359027,0.06892123538,0.06414712952
