no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected,distIMF-pos,distIMM-pos,distISE-pos,distINE-pos
929,2342213,POP_CULTURE,0.13648299,0.12905101,0.10861097,0.02000962,0.13648299,I-MF,I-MF,0.64072681,0.64609336,0.65828656,0.27318772
930,2342213,ANIMALS,0.13401917,0.1382723,0.10959492,0.02571223,0.1382723,I-MM,I-MF,0.62406625,0.62794531,0.62003293,0.25933369
931,2343381,TRAVEL,0.18255809,0.13636568,0.11320738,0.02203109,0.18255809,I-MF,I-MF,0.61493605,0.59763878,0.57653848,0.21386672
932,2343381,POP_CULTURE,0.11013462,0.08667746,0.07653049,0.01352153,0.11013462,I-MF,I-MF,0.47769546,0.48135655,0.47341309,0.25093594
933,2343381,THEATER,0.12624446,0.09618295,0.08826785,0.01451355,0.12624446,I-MF,I-MF,0.60046097,0.60203508,0.59430514,0.34302116
934,2366625,ANIMALS,0.08933274,0.07710221,0.11967888,0.01582851,0.11967888,I-SE,I-SE,0.4322216,0.43631887,0.43655531,0.2137204
935,2366625,COMMUNICATIONS,0.05552858,0.04349843,0.08101017,0.00652083,0.08101017,I-SE,I-SE,0.46277502,0.46095641,0.46804895,0.23183159
936,2366625,POP_CULTURE,0.10367597,0.12190846,0.07937611,0.01831652,0.12190846,I-MM,I-MM,0.41983804,0.43056729,0.42207509,0.22159599
937,2368888,POP_CULTURE,0.11771398,0.10071574,0.07626822,0.01610501,0.11771398,I-MF,I-MF,0.64317165,0.65569482,0.65361276,0.40706447
938,2368888,THEATER,0.0329531,0.0476365,0.0196866,0.0017493,0.0476365,I-MM,I-MM,0.29046494,0.29789067,0.31122304,0.24663941
939,2368888,TRAVEL,0.14853945,0.12452346,0.1096695,0.01744086,0.14853945,I-MF,I-MF,0.62502125,0.62140187,0.61268385,0.26614201
940,2370458,THEATER,0.11138145,0.08119089,0.06178866,0.01125563,0.11138145,I-MF,I-MF,0.65167928,0.63174175,0.61421807,0.31006901
941,2370458,TRAVEL,0.163301,0.11438515,0.08947833,0.014058,0.163301,I-MF,I-MF,0.75877612,0.73625158,0.71977991,0.28064517
942,2370458,POP_CULTURE,0.1318556,0.09508996,0.07325463,0.01248086,0.1318556,I-MF,I-MF,0.60618098,0.58510688,0.57582223,0.31798392
943,2389432,POP_CULTURE,0.06384966,0.09189245,0.05447941,0.01475738,0.09189245,I-MM,I-MM,0.29985755,0.3210544,0.31705516,0.27210215
944,2389432,ANIMALS,0.11546589,0.1707128,0.13571888,0.02805749,0.1707128,I-MM,I-MM,0.43220934,0.44899477,0.45873205,0.15828897
945,2389432,COMMUNICATIONS,0.08007604,0.10382737,0.07862841,0.01095105,0.10382737,I-MM,I-MM,0.47413088,0.49503728,0.48660979,0.25544331
946,2389719,ANIMALS,0.12015106,0.0964412,0.08347633,0.01719603,0.12015106,I-MF,I-MF,0.48853336,0.48303983,0.48275036,0.18586915
947,2389719,COMMUNICATIONS,0.11122393,0.08395787,0.06529902,0.02139074,0.11122393,I-MF,I-MF,0.48711752,0.48120893,0.48041783,0.23042907
948,2389719,POP_CULTURE,0.07561618,0.08774638,0.05250902,0.01043696,0.08774638,I-MM,I-MM,0.53544231,0.53683184,0.52787128,0.25870184
949,2390693,ANIMALS,0.19604599,0.13769819,0.10928295,0.02172854,0.19604599,I-MF,I-MF,0.69785297,0.69916556,0.69155152,0.37338415
950,2390693,COMMUNICATIONS,0.22555551,0.17205284,0.15014956,0.02802718,0.22555551,I-MF,I-MF,0.72988835,0.72886892,0.71094978,0.50807438
951,2390693,POP_CULTURE,0.2651027,0.21200705,0.17465732,0.03405094,0.2651027,I-MF,I-MF,0.84773656,0.84608439,0.83660475,0.45073854
952,2393022,POP_CULTURE,0.2052064,0.16285616,0.13709599,0.0218455,0.2052064,I-MF,I-MF,0.74307533,0.71653805,0.68899557,0.28795889
