distIMF,distIMM,distISE,distINE,distIMF-p4,distIMM-p4,distISE-p4,distINE-p4,label
0.080365724,0.092494299,0.091128511,0.052225646,0.541891911,0.537800007,0.515446336,0.356134882,I-MM
0.109379397,0.154880268,0.134306508,0.078961815,0.348646512,0.370631536,0.372913852,0.293055025,I-MM
0.091343664,0.122758069,0.126322322,0.08860483,0.400368958,0.429249835,0.445264818,0.373267808,I-MM
0.07150314,0.086729797,0.069200551,0.028020186,0.204675122,0.235569845,0.250737104,0.243458315,I-MM
0.07150314,0.086729797,0.069200551,0.028020186,0.204675122,0.235569845,0.250737104,0.243458315,I-MM
0.091343664,0.122758069,0.126322322,0.08860483,0.400368958,0.429249835,0.445264818,0.373267808,I-MM
0.109379397,0.154880268,0.134306508,0.078961815,0.348646512,0.370631536,0.372913852,0.293055025,I-MM
0.140123608,0.16712798,0.148104613,0.092512786,0.587043449,0.608625016,0.609385871,0.517210883,I-MF
0.131354429,0.142007332,0.13113576,0.076849323,0.50571704,0.524646701,0.517601794,0.435880621,I-MF
0.102304883,0.103464259,0.092972494,0.037365945,0.393464532,0.414145648,0.420298534,0.328587146,I-MF
0.102304883,0.103464259,0.092972494,0.037365945,0.393464532,0.414145648,0.420298534,0.328587146,I-MF
0.131354429,0.142007332,0.13113576,0.076849323,0.50571704,0.524646701,0.517601794,0.435880621,I-MF
0.140123608,0.16712798,0.148104613,0.092512786,0.587043449,0.608625016,0.609385871,0.517210883,I-MF
0.086217481,0.120976043,0.12030565,0.071483661,0.38480665,0.411638279,0.418092901,0.367721288,I-MM
0.106502366,0.134723591,0.130201847,0.077983762,0.38302501,0.421100432,0.423910835,0.331235068,I-MM
0.073089792,0.100412625,0.097410287,0.050197659,0.321443037,0.341307519,0.347570089,0.282616401,I-MM
0.073089792,0.100412625,0.097410287,0.050197659,0.321443037,0.341307519,0.347570089,0.282616401,I-MM
0.106502366,0.134723591,0.130201847,0.077983762,0.38302501,0.421100432,0.423910835,0.331235068,I-MM
0.086217481,0.120976043,0.12030565,0.071483661,0.38480665,0.411638279,0.418092901,0.367721288,I-MM
0.082385806,0.07898321,0.075733755,0.050461866,0.467465067,0.457366763,0.450549257,0.319264709,I-MF
0.146665455,0.119317963,0.111928324,0.070128579,0.636511682,0.605701772,0.600736863,0.455016657,I-MF
0.120791633,0.106006864,0.098988416,0.05160195,0.542469324,0.533475412,0.526803924,0.378786873,I-MF
0.120791633,0.106006864,0.098988416,0.05160195,0.542469324,0.533475412,0.526803924,0.378786873,I-MF
0.146665455,0.119317963,0.111928324,0.070128579,0.636511682,0.605701772,0.600736863,0.455016657,I-MF
0.082385806,0.07898321,0.075733755,0.050461866,0.467465067,0.457366763,0.450549257,0.319264709,I-MF
0.039068632,0.043546865,0.053070235,0.031972678,0.325539858,0.30283317,0.296879686,0.226319563,I-SE
0.058616242,0.069868905,0.083341746,0.049681096,0.281615894,0.292190431,0.301368382,0.243355691,I-SE
0.048635331,0.056518133,0.061549044,0.028860102,0.314383755,0.336219809,0.336396253,0.275085764,I-SE
0.048635331,0.056518133,0.061549044,0.028860102,0.314383755,0.336219809,0.336396253,0.275085764,I-SE
0.058616242,0.069868905,0.083341746,0.049681096,0.281615894,0.292190431,0.301368382,0.243355691,I-SE
0.039068632,0.043546865,0.053070235,0.031972678,0.325539858,0.30283317,0.296879686,0.226319563,I-SE
0.055592149,0.072138448,0.076005237,0.05743896,0.26458628,0.278888147,0.298782708,0.30837627,I-SE
0.045803708,0.060153163,0.057035623,0.048581096,0.293234548,0.285668025,0.269954464,0.191636939,I-NE
0.05866858,0.060704406,0.063387338,0.060573919,0.242315909,0.249647768,0.247032987,0.179602255,I-NE
0.05866858,0.060704406,0.063387338,0.060573919,0.242315909,0.249647768,0.247032987,0.179602255,I-NE
0.045803708,0.060153163,0.057035623,0.048581096,0.293234548,0.285668025,0.269954464,0.191636939,I-NE
0.055592149,0.072138448,0.076005237,0.05743896,0.26458628,0.278888147,0.298782708,0.30837627,I-NE
0.022557149,0.027644374,0.041116265,0.028657566,0.160379213,0.176652728,0.200652234,0.228313926,I-SE
0.083133152,0.086970622,0.105730321,0.060966001,0.33944445,0.330074731,0.329478294,0.243433527,I-SE
0.043896105,0.051592894,0.064100758,0.028801231,0.28122297,0.305331047,0.327819858,0.326632195,I-SE
0.043896105,0.051592894,0.064100758,0.028801231,0.28122297,0.305331047,0.327819858,0.326632195,I-SE
0.083133152,0.086970622,0.105730321,0.060966001,0.33944445,0.330074731,0.329478294,0.243433527,I-SE
0.022557149,0.027644374,0.041116265,0.028657566,0.160379213,0.176652728,0.200652234,0.228313926,I-SE
