no,username,testId,topic,About Me,Things To Do,Best Friend,Wishlist,School Supplies,CITY_TOWN,WEATHER,FAMILY,CELEBRATIONS,
2490,W3111866,2305363,CITY_TOWN,0.0613791102659685,0.06576342315071868,0.03782775212680151,0.024991815991413202,0.021406128019243294,0.08931686882620556,0.08185943917955428,0.03272734169387779,0.04903641603034547,
2491,W3111866,2305363,WEATHER,0.07053672361442331,0.07010925712276067,0.03636200559793807,0.047726465137301124,0.019515823334105738,0.056076156251059515,0.09484644153633755,0.03568607769342824,0.029849654081927683,
2492,W3118906,2312253,WEATHER,0.022839703516477766,0.037865275835667,0.015193453174774855,0.015310241209828606,0.01733260981400742,0.033168865770447226,0.045695823947114855,0.012438841278096077,0.02471637810328206,
2493,W3118906,2312253,CITY_TOWN,0.019117121520335647,0.01302450070964197,0.011704152642900941,0.013237119001018606,0.006929072856252572,0.041976886144993036,0.014528379832690218,0.00881373775310877,0.007727908260778694,
2494,W3118906,2312253,FAMILY,0.04781658308742599,0.025781991221484973,0.029830493323227937,0.019969661620091225,0.013015370822232458,0.039770369324997314,0.03557451354705836,0.060864345008941015,0.03856999089050589,
2495,W3138448,2330092,WEATHER,0.09516566630666033,0.08144445735267283,0.045319907180135274,0.016876565054395498,0.013015786646543782,0.06839408842297445,0.15901982662843353,0.048244556396391976,0.06122126347387313,
2496,W3138448,2330092,CITY_TOWN,0.07979352391464084,0.04920705489698219,0.028585468017686296,0.028320244984391896,0.022367040179633046,0.14859474025960398,0.07763498716245312,0.06165179934673684,0.053848129954475146,
2497,W3138448,2330092,FAMILY,0.1541554355784734,0.06573324801275057,0.06556111761531351,0.03152639888983787,0.01861004055504193,0.0948358539149088,0.09112991695938782,0.26099685672577894,0.11634179409277065,
2498,W3146649,2337570,CELEBRATIONS,0.12130492080562164,0.07726197172826213,0.05820675813735014,0.034077513600879614,0.03083663399936483,0.0915951394312296,0.09710396419814855,0.07183405462308735,0.15866848672230394,
2499,W3146649,2337570,WEATHER,0.12561485543441356,0.07731561370255308,0.0838175717892686,0.043243505348604896,0.055129379027361834,0.13990316309503192,0.17829515364933582,0.09985279974065725,0.1216314379853884,
2500,W3146649,2337570,CITY_TOWN,0.15041305526006848,0.11302193526062586,0.09955345096158204,0.054859922142401034,0.051305178994295285,0.19851698750217037,0.15620950886574128,0.12235306770068106,0.12535823781602032,
2501,W3156472,2346694,CITY_TOWN,0.022185473989133956,0.05292246151256607,0.022546664600613466,0.037181355417347725,0.032269340181379474,0.02433944955470633,0.004678114901621915,0.0019122572355673227,0.0,
2502,W3156472,2346694,FAMILY,0.06331016237787944,0.027751741948016034,0.05222442903326145,0.02030579288887386,0.014614102156249621,0.04383661462542784,0.038215214883257735,0.16826568739746292,0.04465685436791738,
2503,W3156472,2346694,WEATHER,0.054029556321135756,0.06414549251720733,0.029027644671495025,0.015071776969994356,0.01287002664092427,0.05733917170518325,0.1739821710642463,0.03551998280991001,0.044806713000840666,
2504,W3209166,2394334,CITY_TOWN,0.01796521504333016,0.020358292682683042,0.008460181607913633,0.0040469639396880225,0.03361871617600694,0.08375341059084729,0.035798461428440564,0.019492013664462366,0.02380088088912566,
2505,W3209166,2394334,FAMILY,0.04809929935642042,0.042773489459013415,0.032542112888776446,0.033454046856568616,0.03302111397352991,0.0667894298568675,0.04826452194599378,0.088356370657312,0.056988871604638225,
2506,W3209166,2394334,WEATHER,0.04575537373888136,0.03496292495187938,0.030992722270931604,0.030309308213223272,0.024346266343271285,0.07689901869089318,0.08698759842355927,0.03738338754996408,0.039437285740592576,
